,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,TerrAqua UAV,@terraqua_uav,2023-01-02T10:48:24.000Z,"TerrAqua UAV
@terraqua_uav
·
2 Jan","A challenging project in high altitude and harsh terrain.
.
.
.
.
#uav #uavpilot #uavsurvey #Drone #dronepilot
#dronesurvey  #aerialsurvey #aeriamapping  #remotesensing #GIS #dji #djiphantom4pro #teamwork #joshimath #joshimathdiaries #uttarakhand #uttarakhanddiaries
ALT
104",,,,,['https://pbs.twimg.com/media/FldhWCRaYAIsmfp?format=jpg&name=small'],https://twitter.com/terraqua_uav/status/1609864177086263299
1,jyoti punwani,@jyotipunwani,2023-01-02T02:21:35.000Z,"jyoti punwani
@jyotipunwani
·
2 Jan","If only devout hindus could learn fm this, #Joshimath wouldn't be sinkinht, #ayodhyasadakchaudikaran wouldn't be happening.
Dainik Bhaskar
@DainikBhaskar
·
2 Jan
जैन तीर्थ सम्मेद शिखर को पर्यटन स्थल बनाने का विरोध: दिल्ली, मुंबई और अहमदाबाद में समुदाय के लोग सड़कों पर उतरे
https://dainik-b.in/nPo7fy5pewb
#jaintirth
2
1
3
545",,2,1,3,"['https://pbs.twimg.com/profile_images/1234019064927834113/z7HtdTVd_mini.png', 'https://pbs.twimg.com/amplify_video_thumb/1609596952005734401/img/i9UfDXQib6rPTGl1.jpg']",https://twitter.com/jyotipunwani/status/1609736635264172033
2,Samvaad365,@samvaad365,2023-01-02T11:31:27.000Z,"Samvaad365
@samvaad365
·
2 Jan","जोशीमठ में भू-धंसाव को लेकर सीएम धामी का एक्शन, प्रभावितों को दिया ये आश्वासन
https://samvaad365.com/uttarakhand/cm-dhamis-action-regarding-landslide-in-joshimath-gave-this-assurance-to-the-affected/…
#CMDhami #Joshimath 
@PTI_News
 #samvaad #samvaad365 #samvaad365newsportal
1
1
97",,,1,1,['https://pbs.twimg.com/media/FldspyxaAAAwrRl?format=jpg&name=small'],https://twitter.com/samvaad365/status/1609875011040579585
3,News India,@newsindia24x7_,2023-01-02T06:29:08.000Z,"News India
@newsindia24x7_
·
2 Jan","जोशीमठ में ओपन जिम का उद्घाटन, CM धामी ने वर्चुअली किया उद्घाटन...

#Joshimath #Uttarakhand #newsindia 
@pushkardhami
 @Abhi_newsanchor
140",,,,,['https://pbs.twimg.com/amplify_video_thumb/1609794515803734018/img/1DXdn_blKjtfR9-i.jpg'],https://twitter.com/newsindia24x7_/status/1609798931973828608
4,नीरज पन्त𑀦𑀻𑀭(पहाड़ी),@Neergunnu,2023-01-02T19:23:48.000Z,"नीरज पन्त𑀦𑀻𑀭(पहाड़ी)
@Neergunnu
·
3 Jan","#joshimath #Uttarakhand #जोशीमठ #geographical #Geography #उत्तराखंड तथाकथित आधुनिक विकास का परिणाम तथा प्रकृति की चेतावनी
https://youtu.be/6qHaepu8gSc
Jitendra Anthwal
@JitendraAnthwal
·
31 Dec 2022
उत्तराखंड के ऐतिहासिक-सांस्कृतिक शहर टिहरी को 2005 में जल विद्युत परियोजना के लिए जल समाधि दे दी गई। अब ऐतिहासिक-धार्मिक शहर जोशीमठ भी जल विद्युत परियोजनाओं की बलि चढ़ने जा रहा है। तिल-तिल कर मरते #जोशीमठ की पीड़ा को बयां करता @MinakshiKandwal का वीडियो...
https://youtu.be/6qHaepu8gSc
135",👇 👇,,,,"['https://pbs.twimg.com/profile_images/1571702687804293121/2PW9eHhT_mini.jpg', 'https://pbs.twimg.com/media/FlR6TucacAEBoxy?format=jpg&name=small']",https://twitter.com/Neergunnu/status/1609993881487282182
5,Amar Ujala Dehradun,@AU_DehradunNews,2023-01-02T15:32:42.000Z,"Amar Ujala Dehradun
@AU_DehradunNews
·
2 Jan","जोशीमठ में हो रहे भू-धंसाव को रोकने के लिए अस्थायी सुरक्षा कार्य किए जाएंगे।
https://amarujala.com/dehradun/landslide-in-joshimath-temporary-work-will-be-done-to-prevent-landslides…
#Uttarakhand #joshimath #landslide
amarujala.com
Landslide In Joshimath: भू-धंसाव रोकने को होंगे अस्थायी कार्य, परिवारों के विस्थापन का तैयार होगा...
जोशीमठ में हो रहे भू-धंसाव को रोकने के लिए अस्थायी सुरक्षा कार्य किए जाएंगे। इन कार्यों को करने के लिए सिंचाई विभाग
1
128",,,,1,[],https://twitter.com/AU_DehradunNews/status/1609935723142205441
6,Amar Ujala Dehradun,@AU_DehradunNews,2023-01-02T07:13:56.000Z,"Amar Ujala Dehradun
@AU_DehradunNews
·
2 Jan","Landslide In Joshimath: धंस रही जमीनों ने बढ़ाई चिंता, मकानों में पड़ रही दरारें, सीएम ने मांगी रिपोर्ट

https://amarujala.com/photo-gallery/dehradun/landslide-in-joshimath-cracks-are-coming-in-houses-cm-seeks-report-from-dm-uttarakhand-news-in-hindi…

#uttarakhandnews #dehradunnews 
@AmarUjalaNews
 #joshimath #landslide 
@pushkardhami
amarujala.com
Landslide In Joshimath: धंस रही जमीनों ने बढ़ाई चिंता, मकानों में पड़ रही दरारें, सीएम ने मांगी र...
चमोली जिले के जोशीमठ में भू-धंसाव पर सीएम पुष्कर सिंह धामी ने डीएम से विस्तृत रिपोर्ट मांगी है। साथ ही भू-धंसाव से प्रभावित
151",,,,,[],https://twitter.com/AU_DehradunNews/status/1609810205231177729
7,enews24x7.in,@enews24x7_in,2023-01-02T07:27:50.000Z,"enews24x7.in
@enews24x7_in
·
2 Jan","धंस रही जमीनों ने बढ़ाई लोगों की चिंता, मकानों में पड़ रही दरारें...

#landslide #joshimath
enews24x7.in
जोशीमठ : धंस रही जमीनों ने बढ़ाई लोगों की चिंता, सीएम धामी ने डीएम से मांगी विस्तृत रिपोर्ट
देहरादून। जोशीमठ में हो रहे भूधंसाव के मामले में मुख्यमंत्री पुष्कर सिंह धामी ने चमोली के जिलाधिकारी से विशेषज्ञ कमेटी की विस्तृत रिपोर्ट मांगी है। सीएम धामी ने कहा कि विशेषज्ञ कमेटी की रिपोर्ट पर …
35",,,,,['https://pbs.twimg.com/card_img/1615091981645905925/pVbLjfVt?format=jpg&name=small'],https://twitter.com/enews24x7_in/status/1609813702865305600
8,News Reporter Network,@NewsReporterNe1,2023-01-03T06:48:54.000Z,"News Reporter Network
@NewsReporterNe1
·
3 Jan","जोशीमठ में भूधंसाव के मामले में 
@pushkardhami
  चमोली के जिलाधिकारी से विशेषज्ञ कमेटी की विस्तृत रिपोर्ट मांगी है।
.
.
#Joshimath #ChiefMinisterDhami #detailed #report #committee #DistrictMagistrate #Chamoli #latestnews #newsreporternetwork
2
51",,,,2,['https://pbs.twimg.com/media/Flh1skvaAAAYlvl?format=jpg&name=small'],https://twitter.com/NewsReporterNe1/status/1610166293554171904
9,"Anjul Negi (Kotdwar,Uk)",@UkAnjul,2023-01-03T07:19:39.000Z,"Anjul Negi (Kotdwar,Uk)
@UkAnjul
·
3 Jan","#Uttrakhand 
Yahan sab ko development dikh raha hai chaye #Joshimath ho ya poora gaon khali karana #Dam ke liye par woh log nahi dikh rahe jinke ghar, wahan se judi yaaden sab khatam ho rahi hain sanskriti bachane waale bhi chup hai khair hume kya humara ghar to bacha hua hai
2
4
504",♥,,2,4,[],https://twitter.com/UkAnjul/status/1610174031214567424
