,UserName,Timestamp,Embedded_text,scores,sentiment_score,overall_sentiment
0,@terraqua_uav,2023-01-02T10:48:24.000Z,"A challenging project in high altitude and harsh terrain.
,
,
,
,
#uav #uavpilot #uavsurvey #Drone #dronepilot
#dronesurvey #aerialsurvey #aeriamapping #remotesensing #GIS #dji #djiphantom4pro #teamwork #joshimath #joshimathdiaries #uttarakhand #uttarakhanddiaries
ALT
104","{'neg': 0.098, 'neu': 0.847, 'pos': 0.054, 'compound': -0.3182}",-0.3182,neg
1,@jyotipunwani,2023-01-02T02:21:35.000Z,"If only devoted Hindus could learn fm this, #Joshimath wouldn't be sinkinht, #ayodhyasadakchoudikaran wouldn't be happening.
Dainik Bhaskar
@DainikBhaskar
,
Jan 2
Protest against making Jain pilgrimage Sammed Shikhar a tourist destination: community members took to the streets in Delhi, Mumbai and Ahmedabad
https://dainik-b.in/nPo7fy5pewb
#jaintirth
2
1
3
545","{'neg': 0.044, 'neu': 0.897, 'pos': 0.059, 'compound': 0.1779}",0.1779,pos
2,@samvaad365,2023-01-02T11:31:27.000Z,"CM Dhami's action regarding landslide in Joshimath, gave this assurance to the affected
https://samvaad365.com/uttarakhand/cm-dhamis-action-regarding-landslide-in-joshimath-gave-this-assurance-to-the-affected/…
#CMDhami #Joshimath
@PTI_News
 #samvaad #samvaad365 #samvaad365newsportal
1
1
97","{'neg': 0.069, 'neu': 0.814, 'pos': 0.118, 'compound': 0.2846}",0.2846,pos
3,@newsindia24x7_,2023-01-02T06:29:08.000Z,"Inauguration of open gym in Joshimath, CM Dhami inaugurated virtually...

#Joshimath #Uttarakhand #newsindia
@pushkardhami
 @abhi_newsanchor
140","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
4,@Neergunnu,2023-01-02T19:23:48.000Z,"#joshimath #Uttarakhand #joshimath #geographical #Geography #Uttarakhand Result of so called modern development and warning of nature
https://youtu.be/6qHaepu8gSc
Jitendra Anthwal
@JitendraAnthwal
,
31 Dec 2022
Historical-cultural city Tehri of Uttarakhand was given Jal Samadhi in 2005 for the hydroelectric project. Now the historical-religious city of Joshimath is also going to be sacrificed for hydropower projects. Video of @MinakshiKandwal narrating the pain of a dying #Joshimath...
https://youtu.be/6qHaepu8gSc
135","{'neg': 0.084, 'neu': 0.916, 'pos': 0.0, 'compound': -0.6908}",-0.6908,neg
5,@AU_DehradunNews,2023-01-02T15:32:42.000Z,"Temporary protection works will be done to prevent landslides happening in Joshimath.
https://amarujala.com/dehradun/landslide-in-joshimath-temporary-work-will-be-done-to-prevent-landslides…
#Uttarakhand #joshimath #landslide
amarujala.com
Landslide In Joshimath: Temporary works will be done to prevent landslides, families will be ready for displacement...
Temporary protection works will be done to prevent landslides happening in Joshimath. Irrigation Department to do these works
1
128","{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.4215}",0.4215,pos
6,@AU_DehradunNews,2023-01-02T07:13:56.000Z,"Landslide In Joshimath: Sinking land raises concern, cracks in houses, CM asks for report

https://amarujala.com/photo-gallery/dehradun/landslide-in-joshimath-cracks-are-coming-in-houses-cm-seeks-report-from-dm-uttarakhand-news-in-hindi…

#uttarakhandnews #dehradunnews
@AmarUjalaNews
 #joshimath #landslide
@pushkardhami
amarujala.com
Landslide In Joshimath: Sinking land increased concern, cracks in houses, CM sought...
CM Pushkar Singh Dhami has sought a detailed report from DM on landslide in Joshimath of Chamoli district. Also affected by landslide
151","{'neg': 0.028, 'neu': 0.936, 'pos': 0.036, 'compound': 0.128}",0.128,pos
7,@enews24x7_in,2023-01-02T07:27:50.000Z,"The sinking land increased the concern of the people, the cracks in the houses...

#landslide #joshimath
enews24x7.in
Joshimath: The sinking land increased the concern of the people, CM Dhami sought a detailed report from the DM
Dehradun. Chief Minister Pushkar Singh Dhami has sought a detailed report of the expert committee from the District Magistrate of Chamoli in connection with the landslide in Joshimath. CM Dhami said that on the report of the expert committee…
35","{'neg': 0.0, 'neu': 0.945, 'pos': 0.055, 'compound': 0.4939}",0.4939,pos
8,@NewsReporterNe1,2023-01-03T06:48:54.000Z,"In case of landslide in Joshimath
@pushkardhami
  A detailed report of the expert committee has been sought from the District Magistrate of Chamoli.
,
,
#Joshimath #ChiefMinisterDhami #detailed #report #committee #DistrictMagistrate #Chamoli #latestnews #newsreporternetwork
2
51","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
9,@UkAnjul,2023-01-03T07:19:39.000Z,"#Uttarakhand
Here everyone is seeing development baby is there
2
4
504","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
10,@Be_Kind0000,2023-01-03T19:44:39.000Z,"#joshimath
atul sati
@atulsati1
,
Jan 3
dm's phone is switched off

sdm went on leave

Thousands of people are living in the disaster-affected city due to cracks and subsidence.

Since last night the cracks are continuously increasing and widening...!
31","{'neg': 0.038, 'neu': 0.962, 'pos': 0.0, 'compound': -0.126}",-0.126,neg
