,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Neeraj Rajput,@neeraj_rajput,2022-12-01T03:20:49.000Z,"Neeraj Rajput
@neeraj_rajput
·
1 Dec 2022","Before returning Delhi blessed to have darshan of 2500yrs old #KalpVriksh in Joshimath which according to puranic beliefs was churned out during Samudra-Manthan. 
#YudhAbhyas22 
#Uttarakhand
0:34
907 views
6
13
86",,6,13,86,"['https://pbs.twimg.com/media/Fi3JRBbaYAEpqUi?format=jpg&name=small', 'https://pbs.twimg.com/ext_tw_video_thumb/1598154762176073731/pu/img/dR_0YKBGlhu8C9gA.jpg']",https://twitter.com/neeraj_rajput/status/1598155128611418112
1,۞ρя𝖎и𝖈𝖊 𝖔𝖋 мαнα∂e̴ν۞,@prince_9712,2022-12-01T13:19:30.000Z,"۞ρя𝖎и𝖈𝖊 𝖔𝖋 мαнα∂e̴ν۞
@prince_9712
·
1 Dec 2022","भगवान आदिगुरु शंकराचार्य जी के चरणों में कोटि कोटि वंदन 


.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
@govardhanmath
 
@sringerimath
 
@Dwarkamath
 
@Joshimath_
 
@AdityAnandVhini
 
@adityavahini_
 
@Adityavahini_uk
 
@AdityavahiniB
 
@adityavahini09
 
@AdityavahiniBKN
 
@AdityavahiniRJ
1
2",💐 🕉 ❤ 😊,,1,2,['https://pbs.twimg.com/ext_tw_video_thumb/1598305644054196227/pu/img/guIWWiHX2OB8BkHL.jpg'],https://twitter.com/prince_9712/status/1598305793723740161
2,۞ρя𝖎и𝖈𝖊 𝖔𝖋 мαнα∂e̴ν۞,@prince_9712,2022-12-01T13:19:30.000Z,"۞ρя𝖎и𝖈𝖊 𝖔𝖋 мαнα∂e̴ν۞
@prince_9712
·
1 Dec 2022","भगवान आदिगुरु शंकराचार्य जी के चरणों में कोटि कोटि वंदन 


.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
@govardhanmath
 
@sringerimath
 
@Dwarkamath
 
@Joshimath_
 
@AdityAnandVhini
 
@adityavahini_
 
@Adityavahini_uk
 
@AdityavahiniB
 
@adityavahini09
 
@AdityavahiniBKN
 
@AdityavahiniRJ
0:34
12 views
1
2",💐 🕉 ❤ 😊,,1,2,['https://pbs.twimg.com/ext_tw_video_thumb/1598305644054196227/pu/img/guIWWiHX2OB8BkHL.jpg'],https://twitter.com/prince_9712/status/1598305793723740161
3,Suchi Sharma,@Suchi_sharma_,2022-12-02T04:29:56.000Z,"Suchi Sharma
@Suchi_sharma_
·
2 Dec 2022","The Divine and Mystical, Jyotirmath Mandir in Joshimath (Uttarakhand)

Here, It is the Biggest Sphatik Shri Mani Ratnam Yantra (Quartz Crystal) in Bharat. It is a home to one of the 4 cardinal pithas established by Jagadguru Adi Shri Shankaracharya ji.
5
94
724",,5,94,724,"['https://pbs.twimg.com/media/Fi8jBoMaYAAZ5HM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fi8jB4KaEAIKiSC?format=jpg&name=360x360']",https://twitter.com/Suchi_sharma_/status/1598534910981345282
4,Poonam Pandey,@pandeypoonam20,2022-12-02T08:59:05.000Z,"Poonam Pandey
@pandeypoonam20
·
2 Dec 2022","ये है कल्पवृक्ष। 2500 साल से है ये। मान्यता है कि ये सभी इच्छाएं पूरी करता है #joshimath #Uttarakhand
3
14
59",,3,14,59,['https://pbs.twimg.com/ext_tw_video_thumb/1598602525879377920/pu/img/jfjWOZHzOnVJV-Yb.jpg'],https://twitter.com/pandeypoonam20/status/1598602642372333570
5,Himanshu Mehra,@UttrakhandH,2022-12-02T01:28:11.000Z,"Himanshu Mehra
@UttrakhandH
·
2 Dec 2022","#VridhBadri Joshimath chamoli Uttarakhand Vridh badri temple story in hindi वृद्ध बद्री चमोली #जोशीमठ
uttrakhandhub.in
Vridh Badri - Uttarakhand HuB
चमोली का वृद्ध बद्री मंदिर वर्तमान बद्रीनाथ भगवान के पुराने स्वरुप को दर्शता वृद्ध बद्री जोशीमठ में स्थित उत्तराखण्ड के चमोली में Vridh Badri",,,,,['https://pbs.twimg.com/card_img/1616182918019170322/9ykO4U_u?format=jpg&name=small'],https://twitter.com/UttrakhandH/status/1598489169432838144
6,Data Info,@DataIsInfo,2022-12-03T16:00:03.000Z,"Data Info
@DataIsInfo
·
3 Dec 2022",EXPLOSION IN JOSHIMATH CANTONMENT  - https://datais.info/loksabha/question/b8ca1b157b689d8cdb34354283c7a561/EXPLOSION+IN+JOSHIMATH+CANTONMENT+/… #Loksabha #India,,,,,['https://pbs.twimg.com/media/FjEKkuwacAAFaBO?format=jpg&name=small'],https://twitter.com/DataIsInfo/status/1599070971402387457
7,Ravirad,@raviaiims2014,2022-12-03T06:48:12.000Z,"Ravirad
@raviaiims2014
·
3 Dec 2022","Between chamoli and joshimath
Alok Bhatt
@alok_bhatt
·
3 Dec 2022
Vistas keep opening up after every turn",,,,,"['https://pbs.twimg.com/profile_images/1607567562761732096/xhawnne9_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1598906135733538817/pu/img/3DxXtVLmTsYzQb3o.jpg']",https://twitter.com/raviaiims2014/status/1598932092964188163
8,Uttarakhand (uttaranchal)Friends,@UttarakhandFrnd,2022-12-03T12:57:27.000Z,"Uttarakhand (uttaranchal)Friends
@UttarakhandFrnd
·
3 Dec 2022","आखिर कब तक उत्तराखंड में उत्तराखण्डी ही सुरक्षित नहीं !!

 24 नवंबर को हत्यारों द्वारा जानलेवा हमले के बाद से  विपिन रावत लगातार मौत से जंग लड़ रहा था। आज तकडे सुबह बिपिन वह जंग हार गया है। दुःखद बात यह है कि हत्यारोपी चारों लोग अभी भी गिरफ्त से बाहर हैं।
#vipinrawat #joshimath
1
18
22",,1,18,22,"['https://pbs.twimg.com/media/FjDgxfUVsAANTps?format=jpg&name=small', 'https://pbs.twimg.com/media/FjDgxs6VQAEt7GA?format=jpg&name=small']",https://twitter.com/UttarakhandFrnd/status/1599025018100666368
9,Alok Bhatt,@alok_bhatt,2022-12-04T11:24:17.000Z,"Alok Bhatt
@alok_bhatt
·
4 Dec 2022","NarSingh Mandir at Joshimath
7
51
667",,7,51,667,['https://pbs.twimg.com/media/FjIVCacXEAElp2s?format=jpg&name=small'],https://twitter.com/alok_bhatt/status/1599363961702715392
10,Gaon Connection English,@GaonConnectionE,2022-12-04T06:23:25.000Z,"Gaon Connection English
@GaonConnectionE
·
4 Dec 2022","#10YearsOfGaonConnection | As part of  #10PartSeries, here's the third report from #Uttarakhand. Joshimath has religious & tourist significance but several villages in the area are sinking. Read on to know why.

Report by 
@megha_prakash
 

@moefcc
gaonconnection.com
The Sinking Feeling in Joshimath
Joshimath in Uttarakhand has both religious and tourist significance. But several villages in the area are slowly subsiding, say the local villagers and scientists who have studied the region....
4
5",,,4,5,['https://pbs.twimg.com/card_img/1614582379670130688/Jq7F3W6x?format=jpg&name=small'],https://twitter.com/GaonConnectionE/status/1599288245002829824
11,Nidhi Jamwal,@JamwalNidhi,2022-12-04T08:23:20.000Z,"Nidhi Jamwal
@JamwalNidhi
·
4 Dec 2022","""The house may collapse anytime, so we quickly clean, bathe and cook before heading out.""

Villages in 3 wards of Joshimath are 'sinking'. Houses have deep cracks; thousands live in fear. 
@GaonConnection
's 3rd report in its #10PartSeries.
@megha_prakash
gaonconnection.com
The Sinking Feeling in Joshimath
Joshimath in Uttarakhand has both religious and tourist significance. But several villages in the area are slowly subsiding, say the local villagers and scientists who have studied the region....
1
2
22",,1,2,22,['https://pbs.twimg.com/card_img/1614582379670130688/Jq7F3W6x?format=jpg&name=small'],https://twitter.com/JamwalNidhi/status/1599318422688792576
12,TIMES18,@TIMES18News,2022-12-04T13:44:36.000Z,"TIMES18
@TIMES18News
·
4 Dec 2022","Joshimath News: Women got special market under Joshimath National Rural Livelihood Mission, will be able to sell their products https://times18.live/joshimath-news-women-got-special-market-under-joshimath-national-rural-livelihood-mission-will-be-able-to-sell-their-products/…",,,,,[],https://twitter.com/TIMES18News/status/1599399270133686273
13,dlovesk.com,@dloveskdotcom,2022-12-04T13:47:07.000Z,"dlovesk.com
@dloveskdotcom
·
4 Dec 2022
Automated","Joshimath News: जोशीमठ राष्ट्रीय ग्रामीण आजीविका मिशन के तहत महिलाओं को मिला विशेष बाजार, कर सकेंगी अपने उत्पादों का बिक्री – dlovesk
dlovesk.com
Joshimath News: जोशीमठ राष्ट्रीय ग्रामीण आजीविका मिशन के तहत महिलाओं को मिला विशेष बाजार, कर सकेंगी...",,,,,[],https://twitter.com/dloveskdotcom/status/1599399903507234816
14,pravesh bisht,@pravesh27181563,2022-12-06T16:52:36.000Z,"pravesh bisht
@pravesh27181563
·
6 Dec 2022","Habits are not bad, hobbies are a bit high @ Joshimath
instagram.com
Pravesh Bisht (@praveshbisht12) • Instagram photo",📸,,,,['https://pbs.twimg.com/card_img/1614233328374415360/W-7zdCxe?format=jpg&name=240x240'],https://twitter.com/pravesh27181563/status/1600171359480516610
