,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,NER,gender
0,0,0,0,Neeraj Rajput,@neeraj_rajput,2022-12-01T03:20:49.000Z,"Neeraj Rajput
@Neeraj_Rajput
,
1 Dec 2022","Before returning Delhi blessed to have darshan of 2500yrs old #KalpVriksh in Joshimath which according to puranic beliefs was churned out during Samudra-Manthan. 
#YudhAbhyas22 
#Uttarakhand
0:34
907 views
6
13
86",,6.0,13,86,"['https://pbs.twimg.com/media/Fi3JRBbaYAEpqUi?format=jpg&name=small', 'https://pbs.twimg.com/ext_tw_video_thumb/1598154762176073731/pu/img/dR_0YKBGlhu8C9gA.jpg']",https://twitter.com/neeraj_rajput/status/1598155128611418112,ORG,
1,1,1,1,۞ρя_и𝖄𝖋 мαнα∂e̴ν۞,@prince_9712,2022-12-01T13:19:30.000Z,"۞ρя_и𝖄𝖋 мαнα∂e̴ν۞
@prince_9712
,
1 Dec 2022","Millions of salutations at the feet of Lord Adiguru Shankaracharya


,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
@govardhanmath
 
@sringerimath
 
@dwarkamath
 
@joshimath_
 
@AdityAnandVhini
 
@adityavahini_
 
@Adityavahini_uk
 
@AdityavahiniB
 
@adityavahini09
 
@AdityavahiniBKN
 
@AdityavahiniRJ
1
2",💐 🕉 ❤ 😊,,1,2,['https://pbs.twimg.com/ext_tw_video_thumb/1598305644054196227/pu/img/guIWWiHX2OB8BkHL.jpg'],https://twitter.com/prince_9712/status/1598305793723740161,,
2,2,2,2,۞ρя_и𝖄𝖋 мαнα∂e̴ν۞,@prince_9712,2022-12-01T13:19:30.000Z,"۞ρя_и𝖄𝖋 мαнα∂e̴ν۞
@prince_9712
,
1 Dec 2022","Millions of salutations at the feet of Lord Adiguru Shankaracharya


,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
@govardhanmath
 
@sringerimath
 
@dwarkamath
 
@joshimath_
 
@AdityAnandVhini
 
@adityavahini_
 
@Adityavahini_uk
 
@AdityavahiniB
 
@adityavahini09
 
@AdityavahiniBKN
 
@AdityavahiniRJ
0:34
12 views
1
2",💐 🕉 ❤ 😊,,1,2,['https://pbs.twimg.com/ext_tw_video_thumb/1598305644054196227/pu/img/guIWWiHX2OB8BkHL.jpg'],https://twitter.com/prince_9712/status/1598305793723740161,,
3,3,3,3,Suchi Sharma,@Suchi_sharma_,2022-12-02T04:29:56.000Z,"Suchi Sharma
@Suchi_Sharma_
,
2 Dec 2022","The Divine and Mystical, Jyotirmath Mandir in Joshimath (Uttarakhand)

Here, It is the Biggest Sphatik Shri Mani Ratnam Yantra (Quartz Crystal) in Bharat. It is a home to one of the 4 cardinal pithas established by Jagadguru Adi Shri Shankaracharya ji.
5
94
724",,5.0,94,724,"['https://pbs.twimg.com/media/Fi8jBoMaYAAZ5HM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fi8jB4KaEAIKiSC?format=jpg&name=360x360']",https://twitter.com/Suchi_sharma_/status/1598534910981345282,PERSON,female
4,4,4,4,Poonam Pandey,@pandeypoonam20,2022-12-02T08:59:05.000Z,"Poonam Pandey
@pandeypoonam20
,
2 Dec 2022","This is Kalpavriksha. It is there since 2500 years. It is believed that it fulfills all wishes #joshimath #Uttarakhand
3
14
59",,3.0,14,59,['https://pbs.twimg.com/ext_tw_video_thumb/1598602525879377920/pu/img/jfjWOZHzOnVJV-Yb.jpg'],https://twitter.com/pandeypoonam20/status/1598602642372333570,ORG,
5,5,5,5,Himanshu Mehra,@UttrakhandH,2022-12-02T01:28:11.000Z,"Himanshu Mehra
@Uttarakhand:
,
2 Dec 2022","#VridhBadri Joshimath chamoli Uttarakhand Vridh badri temple story in hindi
uttrakhandhub.in
Vridh Badri - Uttarakhand HuB
Vridh Badri Temple of Chamoli Vridh Badri in Chamoli, Uttarakhand, located in Joshimath, showing the old form of present Badrinath Lord",,,,,['https://pbs.twimg.com/card_img/1616182918019170322/9ykO4U_u?format=jpg&name=small'],https://twitter.com/UttrakhandH/status/1598489169432838144,PERSON,male
6,6,6,6,Data Info,@DataIsInfo,2022-12-03T16:00:03.000Z,"Data Info
@DataIsInfo
,
3 Dec 2022",EXPLOSION IN JOSHIMATH CANTONMENT - https://datais.info/loksabha/question/b8ca1b157b689d8cdb34354283c7a561/EXPLOSION+IN+JOSHIMATH+CANTONMENT+/… #Loksabha #India,,,,,['https://pbs.twimg.com/media/FjEKkuwacAAFaBO?format=jpg&name=small'],https://twitter.com/DataIsInfo/status/1599070971402387457,,
7,7,7,7,Ravirad,@raviaiims2014,2022-12-03T06:48:12.000Z,"Ravirad
@raviaiims2014
,
3 Dec 2022","Between Chamoli and Joshimath
Alok Bhatt
@alok_bhatt
,
3 Dec 2022
Vistas keep opening up after every turn",,,,,"['https://pbs.twimg.com/profile_images/1607567562761732096/xhawnne9_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1598906135733538817/pu/img/3DxXtVLmTsYzQb3o.jpg']",https://twitter.com/raviaiims2014/status/1598932092964188163,,
8,8,8,8,Uttarakhand (uttaranchal)Friends,@UttarakhandFrnd,2022-12-03T12:57:27.000Z,"Uttarakhand (uttaranchal)Friends
@UttarakhandFrnd
,
3 Dec 2022","Till when only Uttarakhandi is not safe in Uttarakhand!!

 Vipin Rawat was continuously fighting a battle with death since the murderous attack by the killers on 24th November. Till today morning, Bipin has lost that battle. The sad thing is that all the four accused are still at large.
#vipinrawat #joshimath
1
18
22",,1.0,18,22,"['https://pbs.twimg.com/media/FjDgxfUVsAANTps?format=jpg&name=small', 'https://pbs.twimg.com/media/FjDgxs6VQAEt7GA?format=jpg&name=small']",https://twitter.com/UttarakhandFrnd/status/1599025018100666368,,
9,9,9,9,Alok Bhatt,@alok_bhatt,2022-12-04T11:24:17.000Z,"Alok Bhatt
@alok_bhatt
,
4 Dec 2022","NarSingh Mandir at Joshimath
7
51
667",,7.0,51,667,['https://pbs.twimg.com/media/FjIVCacXEAElp2s?format=jpg&name=small'],https://twitter.com/alok_bhatt/status/1599363961702715392,PERSON,male
