,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Devbhoomi Dialogue,@Devbhoomidialo,2022-12-24T13:51:01.000Z,"Devbhoomi Dialogue
@Devbhoomidialo
·
24 Dec 2022","जोशीमठ खतरे की जद में है। जोशीमठ नगर पालिका क्षेत्र के 300 घरों पर बड़ी बड़ी दरारें हैं। लोगों की एक ही मांग है कि फौरन सुरक्षित पुनर्वास हो। #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Uttarakhand 
@atulsati1
Devbhoomi Dialogue
@Devbhoomidialo
पौराणिक और धार्मिक महत्व का शहर जोशीमठ खतरे की जद में है। जोशीमठ नगर पालिका क्षेत्र के 300 घरों पर बड़ी बड़ी दरारें हैं। लोगों की एक ही मांग है कि फौरन सुरक्षित पुनर्वास हो। #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Utt
2
13
23
2,247",,2,13,23,"['https://pbs.twimg.com/card_img/1616357668410785800/eHKxG3UT?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1512429297549873161/P9wSLYAp_mini.jpg']",https://twitter.com/Devbhoomidialo/status/1606648645289328640
1,Devbhoomi Dialogue,@Devbhoomidialo,2022-12-24T13:51:01.000Z,"Devbhoomi Dialogue
@Devbhoomidialo
·
24 Dec 2022","जोशीमठ खतरे की जद में है। जोशीमठ नगर पालिका क्षेत्र के 300 घरों पर बड़ी बड़ी दरारें हैं। लोगों की एक ही मांग है कि फौरन सुरक्षित पुनर्वास हो। #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Uttarakhand 
@atulsati1
33:08
489 viewers
Devbhoomi Dialogue
@Devbhoomidialo
पौराणिक और धार्मिक महत्व का शहर जोशीमठ खतरे की जद में है। जोशीमठ नगर पालिका क्षेत्र के 300 घरों पर बड़ी बड़ी दरारें हैं। लोगों की एक ही मांग है कि फौरन सुरक्षित पुनर्वास हो। #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Utt
2
13
23
2,247",,2,13,23,"['https://pbs.twimg.com/card_img/1616357668410785800/eHKxG3UT?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1512429297549873161/P9wSLYAp_mini.jpg']",https://twitter.com/Devbhoomidialo/status/1606648645289328640
2,atulsati,@atulsati1,2023-01-03T04:33:32.000Z,"atulsati
@atulsati1
·
3 Jan","#joshimathsinking

Joshimath: 'Serious', says Uttarakhand CM Pushkar Singh Dhami as locals say 'living on atom bomb' - http://toi.in/yu68sb/a31ga8

Use the TOI app to get Breaking news and headlines. Download now:
timesofindia.indiatimes.com
News: US News, Top News in India, US election news, Business news, Sports & International News |...
Read Top News in India and around the World on Times of India. Breaking news coverage and analysis on US presidential election, politics, current affairs, business & sports.
3
10
1,376",,,3,10,['https://pbs.twimg.com/card_img/1613311787385982977/EGTgiQke?format=jpg&name=small'],https://twitter.com/atulsati1/status/1610132227702296576
3,Devbhoomi Dialogue,@Devbhoomidialo,2023-01-03T13:24:29.000Z,"Devbhoomi Dialogue
@Devbhoomidialo
·
3 Jan","भू धंसाव से जोशीमठ के अस्तित्व पर संकट गहरा रहा है। शहर के तलहटी वाले क्षेत्र में बड़ी बड़ी दरारों के बाद अब पानी का रिसाव भी होने लगा है। जल्द ध्यान नहीं दिया तो बड़ी त्रासदी दस्तक दे रही है।
 #Joshimath
#LandslideEffect
#JoshimathSinking
#CracksInHouses
#Rehabilitation
3
45
93
3,389",,3,45,93,['https://pbs.twimg.com/media/FljRgd9aMAMYhHd.jpg'],https://twitter.com/Devbhoomidialo/status/1610265845846142976
4,Devbhoomi Dialogue,@Devbhoomidialo,2023-01-03T12:58:35.000Z,"Devbhoomi Dialogue
@Devbhoomidialo
·
3 Jan","जोशीमठ को बचा लो सरकार। पहले दरारें, अब पानी का रिसाव। बड़ी त्रासदी को न्योता  #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Uttarakhand #ChamoliDistrict
Devbhoomi Dialogue
@Devbhoomidialo
जोशीमठ को बचा लो सरकार। पहले दरारें, अब पानी का रिसाव। बड़ी त्रासदी को न्योता #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Uttarakhand #ChamoliDistrict
1
18
39
1,709",,1,18,39,"['https://pbs.twimg.com/card_img/1616360512744468480/q6mX7Elk?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1512429297549873161/P9wSLYAp_mini.jpg']",https://twitter.com/Devbhoomidialo/status/1610259327830609920
5,Ankit Sharma,@ankitsharmauk,2023-01-03T06:56:42.000Z,"Ankit Sharma
@ankitsharmauk
·
3 Jan","जोशीमठ लगातार बढ़ रहा है बड़े खतरे की ओर। क्या हम किसी बड़ी आपदा के इंतज़ार कर रहे हैं? 
#Joshimath
#JoshimathSinking 
@pushkardhami
 @harishrawatcmuk
 @Anoopnautiyal1
youtube.com
Joshimath : रातों-रात जोशीमठ पर बढ़ गया खतरा, लोग घर छोड़कर जाने लगे
Joshimath : रातों-रात जोशीमठ पर बढ़ गया खतरा, लोग घर छोड़कर जाने लगे #joshimath #uttarakhandtak #auli #UKT0107For more videos, visit https://www.yout...
1
5
566",,,1,5,['https://pbs.twimg.com/card_img/1615385240146513920/q_w8mq6D?format=jpg&name=240x240'],https://twitter.com/ankitsharmauk/status/1610168256505184256
6,हिमांशी मेहरा,@Himanshi_mehra_,2023-01-05T20:24:14.000Z,"हिमांशी मेहरा
@Himanshi_mehra_
·
6 Jan","Guys pray for #Joshimath 

#joshimathsinking #joshimath #prayforjoshimath #Uttrakhand #devbhumi
20
212
246
13K",🔱 🔱 🙏 🥺,20,212,246,"['https://pbs.twimg.com/media/FlvDTlsaAAAuyrY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlvDXBTacAApFAe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlvDaSVacAAgbxl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlvDaizaUAA4Eqf?format=jpg&name=360x360']",https://twitter.com/Himanshi_mehra_/status/1611096254364418049
7,The Earth And Climate Initiative,@TheEarthAndCli1,2023-01-05T07:35:33.000Z,"The Earth And Climate Initiative
@TheEarthAndCli1
·
5 Jan","Tehri zila,Lohari gaon,Raini Goan & now on the way is #joshimathsinking #Karanprayag 

Today People are leaving their ancestral home, protesting for survival 

Everyday new cracks are being formed

CM 
@OfficeofDhami
 has constructed a committee 

 But Action needs to be taken now
0:27
355 views
0:35
25 views
2:20
24 views
1:55
16 views
6
13
950",,,6,13,"['https://pbs.twimg.com/ext_tw_video_thumb/1610902092574777344/pu/img/BLFjKx-hMhoCh3B5.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1610902092562190342/pu/img/U2Rrrle-gtL_IJCn.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1610902092562169857/pu/img/ukwCS-O3U1ewLZ5I.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1610902092629315584/pu/img/yi3iKvQzuRdcDMlV.jpg']",https://twitter.com/TheEarthAndCli1/status/1610902809620406272
8,Anukriti Gusain,@Anukriti_Gusain,2023-01-05T13:17:10.000Z,"Anukriti Gusain
@Anukriti_Gusain
·
5 Jan","At such a time, the government should start rescue operations on a war footing. Today the lives of thousands of people are in danger on this land of holy Badrinath ji. #savejoshimath #joshimathsinking #anukritigusain #uttarakhand #जोशीमठ_बचाओ #joshimath
1
23
1,778",,,1,23,['https://pbs.twimg.com/media/FlthrflakAAjLO_?format=jpg&name=small'],https://twitter.com/Anukriti_Gusain/status/1610988778356903936
9,First India,@thefirstindia,2023-01-05T06:33:08.000Z,"First India
@thefirstindia
·
5 Jan","Cracks have reportedly developed in as many as 561 houses in Joshimath as a result of continued land subsidence in the town, stated the District Disaster Management Department.
 
#Uttarakhand #Joshimath #Landslides #JoshimathSinking #UttarakhandLandslide #Landslide #TheFirstIndia
1
1
245",,1,,1,['https://pbs.twimg.com/media/FlsFCCTaAAArxrh?format=jpg&name=small'],https://twitter.com/thefirstindia/status/1610887100613918720
