,Unnamed: 0,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,0,Devbhoomi Dialogue,@Devbhoomidialo,2022-12-24T13:51:01.000Z,"Devbhoomi Dialogue
@devbhoomidialo
,
24 Dec 2022","Joshimath is in danger. There are huge cracks on 300 houses of Joshimath Municipality area. The only demand of the people is that there should be safe rehabilitation immediately. #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Uttarakhand
@atulsati1
Devbhoomi Dialogue
@devbhoomidialo
Joshimath, a city of mythological and religious importance, is under threat. There are huge cracks on 300 houses of Joshimath Municipality area. The only demand of the people is that there should be safe rehabilitation immediately. #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Utt
2
13
23
2,247",,2.0,13.0,23,"['https://pbs.twimg.com/card_img/1616357668410785800/eHKxG3UT?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1512429297549873161/P9wSLYAp_mini.jpg']",https://twitter.com/Devbhoomidialo/status/1606648645289328640
1,1,Devbhoomi Dialogue,@Devbhoomidialo,2022-12-24T13:51:01.000Z,"Devbhoomi Dialogue
@devbhoomidialo
,
24 Dec 2022","Joshimath is in danger. There are huge cracks on 300 houses of Joshimath Municipality area. The only demand of the people is that there should be safe rehabilitation immediately. #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Uttarakhand
@atulsati1
33:08
489 viewers
Devbhoomi Dialogue
@devbhoomidialo
Joshimath, a city of mythological and religious importance, is under threat. There are huge cracks on 300 houses of Joshimath Municipality area. The only demand of the people is that there should be safe rehabilitation immediately. #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Utt
2
13
23
2,247",,2.0,13.0,23,"['https://pbs.twimg.com/card_img/1616357668410785800/eHKxG3UT?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1512429297549873161/P9wSLYAp_mini.jpg']",https://twitter.com/Devbhoomidialo/status/1606648645289328640
2,2,atulsati,@atulsati1,2023-01-03T04:33:32.000Z,"atul sati
@atulsati1
,
Jan 3","#joshimathsinking

Joshimath: 'Serious', says Uttarakhand CM Pushkar Singh Dhami as locals say 'living on atom bomb' - http://toi.in/yu68sb/a31ga8

Use the TOI app to get breaking news and headlines. Download now:
timesofindia.indiatimes.com
News: US News, Top News in India, US election news, Business news, Sports & International News |...
Read Top News in India and around the World on Times of India. Breaking news coverage and analysis on US presidential election, politics, current affairs, business & sports.
3
10
1,376",,,3.0,10,['https://pbs.twimg.com/card_img/1613311787385982977/EGTgiQke?format=jpg&name=small'],https://twitter.com/atulsati1/status/1610132227702296576
3,3,Devbhoomi Dialogue,@Devbhoomidialo,2023-01-03T13:24:29.000Z,"Devbhoomi Dialogue
@devbhoomidialo
,
Jan 3","The crisis on the existence of Joshimath is deepening due to landslide. After huge cracks in the foothills of the city, now water leakage has also started. If you don't pay attention soon, a big tragedy is knocking.
 #joshimath
#LandslideEffect
#JoshimathSinking
#CracksInHouses
#rehabilitation
3
45
93
3,389",,3.0,45.0,93,['https://pbs.twimg.com/media/FljRgd9aMAMYhHd.jpg'],https://twitter.com/Devbhoomidialo/status/1610265845846142976
4,4,Devbhoomi Dialogue,@Devbhoomidialo,2023-01-03T12:58:35.000Z,"Devbhoomi Dialogue
@devbhoomidialo
,
Jan 3","Government should save Joshimath. First cracks, now water seepage. An invitation to a bigger tragedy #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Uttarakhand #ChamoliDistrict
Devbhoomi Dialogue
@devbhoomidialo
Government should save Joshimath. First cracks, now water seepage. An invitation to a bigger tragedy #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Uttarakhand #ChamoliDistrict
1
18
39
1,709",,1.0,18.0,39,"['https://pbs.twimg.com/card_img/1616360512744468480/q6mX7Elk?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1512429297549873161/P9wSLYAp_mini.jpg']",https://twitter.com/Devbhoomidialo/status/1610259327830609920
5,5,Ankit Sharma,@ankitsharmauk,2023-01-03T06:56:42.000Z,"Ankit Sharma
@ankitsharmauk
,
3 Jan","Joshimath is continuously moving towards great danger. Are we waiting for a bigger disaster?
#joshimath
#JoshimathSinking
@pushkardhami
 @harishrawatcmuk
 @anoopnautiyal1
youtube.com
Joshimath: Overnight the threat to Joshimath increased, people started leaving their homes
Joshimath: The danger increased overnight on Joshimath, people started leaving their homes #joshimath #uttarakhandtak #auli #UKT0107For more videos, visit https://www.yout...
1
5
566",,,1.0,5,['https://pbs.twimg.com/card_img/1615385240146513920/q_w8mq6D?format=jpg&name=240x240'],https://twitter.com/ankitsharmauk/status/1610168256505184256
6,6,हिमांशी मेहरा,@Himanshi_mehra_,2023-01-05T20:24:14.000Z,"Himanshi Mehra
@Himanshi_mehra_
,
Jan 6","Guys pray for #joshimath

#joshimathsinking #joshimath #parayforjoshimath #uttrakhand #devbhoomi
20
212
246
13a",🔱 🔱 🙏 🥺,20.0,212.0,246,"['https://pbs.twimg.com/media/FlvDTlsaAAAuyrY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlvDXBTacAApFAe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlvDaSVacAAgbxl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlvDaizaUAA4Eqf?format=jpg&name=360x360']",https://twitter.com/Himanshi_mehra_/status/1611096254364418049
7,7,The Earth And Climate Initiative,@TheEarthAndCli1,2023-01-05T07:35:33.000Z,"The Earth And Climate Initiative
@TheEarthAndCli1
,
Jan 5","Tehri district, Lohari gaon, Raini Goan & now on the way is #joshimathsinking #Karanprayag

Today people are leaving their ancestral home, protesting for survival

Everyday new cracks are being formed

CM
@OfficeofDhami
 has constructed a committee

 But action needs to be taken now
0:27
355 views
0:35
25 views
2:20
24 views
1:55
16 views
6
13
950",,,6.0,13,"['https://pbs.twimg.com/ext_tw_video_thumb/1610902092574777344/pu/img/BLFjKx-hMhoCh3B5.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1610902092562190342/pu/img/U2Rrrle-gtL_IJCn.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1610902092562169857/pu/img/ukwCS-O3U1ewLZ5I.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1610902092629315584/pu/img/yi3iKvQzuRdcDMlV.jpg']",https://twitter.com/TheEarthAndCli1/status/1610902809620406272
8,8,Anukriti Gusain,@Anukriti_Gusain,2023-01-05T13:17:10.000Z,"Anukriti Gusain
@Anukriti_Gusain
,
5 Jan","At such a time, the government should start rescue operations on a war footing. Today the lives of thousands of people are in danger on this land of holy Badrinath ji. #savejoshimath #joshimathsinking #anukritigusain #uttarakhand #savejoshimath #joshimath
1
23
1,778",,,1.0,23,['https://pbs.twimg.com/media/FlthrflakAAjLO_?format=jpg&name=small'],https://twitter.com/Anukriti_Gusain/status/1610988778356903936
9,9,First India,@thefirstindia,2023-01-05T06:33:08.000Z,"First India
@thefirstindia
,
Jan 5","Cracks have reportedly developed in as many as 561 houses in Joshimath as a result of continued land subsidence in the town, stated the District Disaster Management Department.
 
#Uttarakhand #Joshimath #Landslides #JoshimathSinking #UttarakhandLandslide #Landslide #TheFirstIndia
1
1
245",,1.0,,1,['https://pbs.twimg.com/media/FlsFCCTaAAArxrh?format=jpg&name=small'],https://twitter.com/thefirstindia/status/1610887100613918720
