,Unnamed: 0,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,NER,gender,scores,sentiment_score,overall_sentiment
0,0,Neeraj Rajput,@neeraj_rajput,2022-12-01T05:14:14.000Z,"Niraj Rajput
@Neeraj_Rajput
·
1 Desi 2022","Paid tributes at holy place of Adi Guru Shankracharya Ji and Narsingh Temple in #Joshimath since #Badrinath temple is closed now. 
#Uttarakhand 
#YudhAbhyas22
3
26",,,3.0,26,"['https://pbs.twimg.com/media/Fi3jh0UaUAAZRGd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fi3ji5iacAAnpxP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fi3jkEZaMAEZQTd?format=jpg&name=360x360']",https://twitter.com/neeraj_rajput/status/1598183670426537984,PERSON,male,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
3,3,deepak mokhwall,@mokhwall,2022-12-09T15:10:45.000Z,"deepak mokhwall
@mokhwall
·
9 Dec 2022","In Joshimath, people are living in fear due to cracks coming in the houses.
#joshimath #chamoli #Uttarakhand
0:44
14 views",,,,,[],https://twitter.com/mokhwall/status/1601232893443178496,PERSON,male,"{'neg': 0.144, 'neu': 0.856, 'pos': 0.0, 'compound': -0.4939}",-0.4939,neg
4,4,Manoj Kumar Baraar,@MBaraar,2022-12-10T16:00:15.000Z,"Manoj Kumar Brar
@mabarar
·
10 Desi 2022",#hotsprings #joshimath,,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1601607680803893251/pu/img/JtKBRabRwphRQC7E.jpg'],https://twitter.com/MBaraar/status/1601607738056134656,PERSON,male,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
11,11,Acharya Praveen Chauhan,@astropraveen,2022-12-13T05:31:31.000Z,"Acharya Praveen Chauhan
@astropraveen
·
13 Dec 2022","Narsingh Temple Joshimath has a history of around 1200 years and was home to Sage Badri Nath.
Adi Shankracharya established the Shaligram idol of Vishnu's Narsimha avatar here
#joshimath #narsinghtemple #uttrakhand #AcharyaPraveen #AstrologerPraveen
3",🚩,,,3,['https://pbs.twimg.com/media/Fj1almqakAAqkVT?format=jpg&name=small'],https://twitter.com/astropraveen/status/1602536674852220928,PERSON,male,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
15,15,Anoop Nautiyal,@Anoopnautiyal1,2022-12-22T04:08:13.000Z,"Anoop Nautiyal
@Anoopnautiyal1
·
22 Desi 2022","I am concerned with reports of sinking of #Joshimath town. Based on field surveys, govt experts have also expressed concerns. I urge 
@OfficeofDhami
 to initiate immediate measures to ensure safety of people/town which is the gateway for Badrinath, Hemkund Sahib, Auli, others!
4
27
86
3,763",,4.0,27.0,86,['https://pbs.twimg.com/media/Fkjd2m6aYAADN5w?format=jpg&name=small'],https://twitter.com/Anoopnautiyal1/status/1605777200288043009,PERSON,male,"{'neg': 0.054, 'neu': 0.828, 'pos': 0.118, 'compound': 0.4753}",0.4753,pos
16,16,ARJIT KHARE,@ArjitkhareINC,2022-12-22T04:06:47.000Z,"Unearned
@arjitkhareinak
·
22 Desi 2022","Mountains of Uttarakhand are rapidly sinking: danger on country's longest Joshimath-Auli ropeway, 36 families shifted
Glaciers are melting due to indiscriminate construction work. The process of mountain subsidence is speeding up.
#uttrakhand
#joshimath #badrinath
1
3
461",,,1.0,3,['https://pbs.twimg.com/media/Fkjdg_EUAAAZeyU?format=jpg&name=small'],https://twitter.com/ArjitkhareINC/status/1605776843117719552,PERSON,male,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.5267}",-0.5267,neg
18,18,The Lallantop,@TheLallantop,2022-12-24T14:41:05.000Z,"The Lallantop
@TheLallantop
·
24 Dec 2022","In many areas of Joshimath, people's houses are sinking under the ground. Cracks are coming on the walls. Local people say that this has been happening for many days. People are scared, they are worried about their safety.
#joshimath
thellantop.com
Land sinking in Uttarakhand, huge cracks on the walls, people on the streets
Local people say that in the last one year, the incidents of land subsidence have increased a lot in Joshimath.
22
187
12.6K",,,22.0,187,['https://pbs.twimg.com/card_img/1614462370180468736/bWKF8Waz?format=jpg&name=small'],https://twitter.com/TheLallantop/status/1606661243909345285,PERSON,male,"{'neg': 0.108, 'neu': 0.808, 'pos': 0.084, 'compound': -0.4588}",-0.4588,neg
24,24,Ashish,@AshishXL,2022-12-26T16:19:38.000Z,"Ashish
@AshishXL
·
26 Dec 2022","#Joshimath is facing grave crisis because of landslides. Please help citizens 
@pushkardhami
 ji 
@narendramodi
 ji
6
876",☮,,,6,[],https://twitter.com/AshishXL/status/1607410820769800193,PERSON,male,"{'neg': 0.283, 'neu': 0.506, 'pos': 0.211, 'compound': -0.4019}",-0.4019,neg
26,26,Uttarakhand Tak,@UttarakhandTak,2022-12-26T16:14:16.000Z,"up to Uttarakhand
@Uttarakhand
,
26 Dec 2022","Joshimath: People came out of their homes, more than 500 buildings on the verge of collapse!

#UTTARAKHAND #JOSHIMATH
5
12
639",,,5.0,12,['https://pbs.twimg.com/ext_tw_video_thumb/1607407837487190021/pu/img/CtDKpwwK5nEDRAq4.jpg'],https://twitter.com/UttarakhandTak/status/1607409471026008065,PERSON,male,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.5411}",-0.5411,neg
29,29,Amar Ujala Dehradun,@AU_DehradunNews,2022-12-27T07:40:25.000Z,"Amar Ujla Dehradun
@aa_dehradunnews
·
27 Dec 2022","Landslide In Joshimath: Crisis looming over the existence of the city, cracks in 559 houses, this happened in three days

https://amarujala.com/photo-gallery/dehradun/landslide-save-joshimath-movement-cracks-came-in-about-46-houses-in-three-days-uttarakhand-news-in-hindi…

#uttarakhandnews #dehradunnews
@AmarUjalaNews
 #Joshimath #Landslide #cracks
amarujala.com
Landslide In Joshimath: Crisis looming over the existence of the city, cracks in 559 houses, in three days...
Joshimath city is important from ancient, spiritual and strategic point of view but the existence of the city is in danger.
97",,,,,[],https://twitter.com/AU_DehradunNews/status/1607642543516446720,PERSON,male,"{'neg': 0.161, 'neu': 0.82, 'pos': 0.019, 'compound': -0.8689}",-0.8689,neg
