,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Neeraj Rajput,@neeraj_rajput,2022-12-01T05:14:14.000Z,"Niraj Rajput
@Neeraj_Rajput
·
1 Desi 2022","Paid tributes at holy place of Adi Guru Shankracharya Ji and Narsingh Temple in #Joshimath since #Badrinath temple is closed now. 
#Uttarakhand 
#YudhAbhyas22
3
26",,,3,26,"['https://pbs.twimg.com/media/Fi3jh0UaUAAZRGd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fi3ji5iacAAnpxP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fi3jkEZaMAEZQTd?format=jpg&name=360x360']",https://twitter.com/neeraj_rajput/status/1598183670426537984
1,Poonam Pandey,@pandeypoonam20,2022-12-02T08:59:05.000Z,"Poonam Pandey
@pandeypoonam20
·
2 Dec 2022","This is Kalpavriksha. It is there since 2500 years. It is believed that it fulfills all wishes #joshimath #Uttarakhand
0:36
914 views
3
14
59",,3,14,59,['https://pbs.twimg.com/ext_tw_video_thumb/1598602525879377920/pu/img/jfjWOZHzOnVJV-Yb.jpg'],https://twitter.com/pandeypoonam20/status/1598602642372333570
2,Uttarakhand (uttaranchal)Friends,@UttarakhandFrnd,2022-12-03T12:57:27.000Z,"Uttarakhand (Uttaranchal) Friends
@uttrakhandfriend
,
3 Dec 2022","Till when only Uttarakhandi is not safe in Uttarakhand!!

 Vipin Rawat was constantly fighting a battle with death since the murderous attack by the killers on 24th November. Till today morning, Bipin has lost that battle. The sad thing is that the four murderers are still at large.
#vipinrawat #joshimath
1
18
22",,1,18,22,"['https://pbs.twimg.com/media/FjDgxfUVsAANTps?format=jpg&name=small', 'https://pbs.twimg.com/media/FjDgxs6VQAEt7GA?format=jpg&name=small']",https://twitter.com/UttarakhandFrnd/status/1599025018100666368
3,deepak mokhwall,@mokhwall,2022-12-09T15:10:45.000Z,"deepak mokhwall
@mokhwall
·
9 Dec 2022","In Joshimath, people are living in fear due to cracks coming in the houses.
#joshimath #chamoli #Uttarakhand
0:44
14 views",,,,,[],https://twitter.com/mokhwall/status/1601232893443178496
4,Manoj Kumar Baraar,@MBaraar,2022-12-10T16:00:15.000Z,"Manoj Kumar Brar
@mabarar
·
10 Desi 2022",#hotsprings #joshimath,,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1601607680803893251/pu/img/JtKBRabRwphRQC7E.jpg'],https://twitter.com/MBaraar/status/1601607738056134656
5,Abeedah Akhtar,@AbeedahAkhtar,2022-12-11T15:50:58.000Z,"His servants I choose
@bahahahater
·
December 11, 2022","#IndianArmy 
'Our Veterans Our Pride' 
#Veterans Outreach Rally was organised by Ibex Brigade at #Joshimath. Pension & ECHS related grievances were addressed. Veterans and Veernaris were provided information on documentation related issues, SPARSH & ECHS.
@adgpi
 #IndianArmy 
#jk",,,,,['https://pbs.twimg.com/media/FjtVNFGUYAIW2rT?format=jpg&name=small'],https://twitter.com/AbeedahAkhtar/status/1601967786699333633
6,Aisha Khan,@AishaKh19035278,2022-12-11T15:50:40.000Z,"Aisha Khan
@AishaKh19035278
·
11 Dec 2022","#IndianArmy 
'Our Veterans Our Pride' 
#Veterans Outreach Rally was organised by Ibex Brigade at #Joshimath. Pension & ECHS related grievances were addressed. Veterans and Veernaris were provided information on documentation related issues, SPARSH & ECHS.
@adgpi
 #IndianArmy 
#jk",,,,,['https://pbs.twimg.com/media/FjtVCcFUAAAmkGe?format=jpg&name=small'],https://twitter.com/AishaKh19035278/status/1601967713865371648
7,Priya Sharma,@PriyaSh95788438,2022-12-11T15:49:00.000Z,"Priya Sharma
@priyash95788438
,
11 Dec 2022","#IndianArmy 
'Our Veterans Our Pride' 
#Veterans Outreach Rally was organised by Ibex Brigade at #Joshimath. Pension & ECHS related grievances were addressed. Veterans and Veernaris were provided information on documentation related issues, SPARSH & ECHS.
#المغرب_البرتغا",,,,,['https://pbs.twimg.com/media/FjtUvGBVsAAT0Ho?format=jpg&name=small'],https://twitter.com/PriyaSh95788438/status/1601967292098543617
8,SuryaCommand_IA,@suryacommand,2022-12-11T15:45:40.000Z,"SuryaCommand_IA
@suryacommand
·
11 Dec 2022","#IndianArmy 
'Our Veterans Our Pride' 
#Veterans Outreach Rally was organised by Ibex Brigade at #Joshimath. Pension & ECHS related grievances were addressed. Veterans and Veernaris were provided information on documentation related issues, SPARSH & ECHS.
@adgpi
 
@DIAV20
2
65
158",,2,65,158,['https://pbs.twimg.com/media/FjtT96iagAAIRru?format=jpg&name=small'],https://twitter.com/suryacommand/status/1601966453435305985
9,Poonam Pandey,@pandeypoonam20,2022-12-11T14:22:39.000Z,"Poonam Pandey
@pandeypoonam20
·
11 Dec 2022","#hotspring #tapovan #joshimath #Uttarakhand
2
3
87",,2,3,87,['https://pbs.twimg.com/ext_tw_video_thumb/1601945536533184514/pu/img/GfVIRQoHw25rSu28.jpg'],https://twitter.com/pandeypoonam20/status/1601945561137000448
10,ABP Ganga,@AbpGanga,2022-12-12T01:15:11.000Z,"ABP Ganga
@AbpGanga
·
12 Dec 2022","Women set up a local market in Joshimath

#Uttarakhand #Joshimath
abplive.com
Joshimath News: Under the Sunday Market in the Joshimath Block Development Office, women set up a local market,...
Uttarakhand News: In Joshimath, the women of Bhotia tribe along with their respective groups have reached the block auditorium of Joshimath carrying hand-made woolen clothes along with crops in this Sunday market.",,,,,['https://pbs.twimg.com/card_img/1613939895952879617/taIo4qcU?format=jpg&name=small'],https://twitter.com/AbpGanga/status/1602109776661737473
11,Acharya Praveen Chauhan,@astropraveen,2022-12-13T05:31:31.000Z,"Acharya Praveen Chauhan
@astropraveen
·
13 Dec 2022","Narsingh Temple Joshimath has a history of around 1200 years and was home to Sage Badri Nath.
Adi Shankracharya established the Shaligram idol of Vishnu's Narsimha avatar here
#joshimath #narsinghtemple #uttrakhand #AcharyaPraveen #AstrologerPraveen
3",🚩,,,3,['https://pbs.twimg.com/media/Fj1almqakAAqkVT?format=jpg&name=small'],https://twitter.com/astropraveen/status/1602536674852220928
12,LateNewz.com,@LateNewzdotcom,2022-12-19T18:24:41.000Z,"LateNewz.com
@LateNewzdotcom
·
19 Dec 2022","Dehradun / Joshimath. Baba Barfani sitting in the cave of Niti valley. - https://latenewz.com/news/31616
#Dehradun #Joshimath
#nitighati #cave
#bababarfani
latenews.com
Dehradun / Joshimath. Baba Barfani sitting in the cave of Niti valley.
Dehradun / Joshimath Uttarakhand. If you are planning to reach Auli for the Christmas and 31st December celebrations, then do make a plan to visit Baba Barfani, about 70 km from here.
39",,,,,['https://pbs.twimg.com/card_img/1614693632581459973/u3u4PJ4S?format=jpg&name=small'],https://twitter.com/LateNewzdotcom/status/1604905576441729024
