UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,NER,gender,scores,sentiment_score,overall_sentiment
Poonam Pandey,@pandeypoonam20,2022-12-02T08:59:05.000Z,"Poonam Pandey
@pandeypoonam20
·
2 Dec 2022","This is Kalpavriksha. It is there since 2500 years. It is believed that it fulfills all wishes #joshimath #Uttarakhand
0:36
914 views
3
14
59",,3,14,59,['https://pbs.twimg.com/ext_tw_video_thumb/1598602525879377920/pu/img/jfjWOZHzOnVJV-Yb.jpg'],https://twitter.com/pandeypoonam20/status/1598602642372333570,PERSON,female,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.3818}",0.3818,pos
Aisha Khan,@AishaKh19035278,2022-12-11T15:50:40.000Z,"Aisha Khan
@AishaKh19035278
·
11 Dec 2022","#IndianArmy 
'Our Veterans Our Pride' 
#Veterans Outreach Rally was organised by Ibex Brigade at #Joshimath. Pension & ECHS related grievances were addressed. Veterans and Veernaris were provided information on documentation related issues, SPARSH & ECHS.
@adgpi
 #IndianArmy 
#jk",,,,,['https://pbs.twimg.com/media/FjtVCcFUAAAmkGe?format=jpg&name=small'],https://twitter.com/AishaKh19035278/status/1601967713865371648,PERSON,female,"{'neg': 0.062, 'neu': 0.825, 'pos': 0.113, 'compound': 0.25}",0.25,pos
Priya Sharma,@PriyaSh95788438,2022-12-11T15:49:00.000Z,"Priya Sharma
@priyash95788438
,
11 Dec 2022","#IndianArmy 
'Our Veterans Our Pride' 
#Veterans Outreach Rally was organised by Ibex Brigade at #Joshimath. Pension & ECHS related grievances were addressed. Veterans and Veernaris were provided information on documentation related issues, SPARSH & ECHS.
#المغرب_البرتغا",,,,,['https://pbs.twimg.com/media/FjtUvGBVsAAT0Ho?format=jpg&name=small'],https://twitter.com/PriyaSh95788438/status/1601967292098543617,PERSON,female,"{'neg': 0.066, 'neu': 0.816, 'pos': 0.118, 'compound': 0.25}",0.25,pos
Poonam Pandey,@pandeypoonam20,2022-12-11T14:22:39.000Z,"Poonam Pandey
@pandeypoonam20
·
11 Dec 2022","#hotspring #tapovan #joshimath #Uttarakhand
2
3
87",,2,3,87,['https://pbs.twimg.com/ext_tw_video_thumb/1601945536533184514/pu/img/GfVIRQoHw25rSu28.jpg'],https://twitter.com/pandeypoonam20/status/1601945561137000448,PERSON,female,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
Sarita Tiwari,@saritatiwariuk,2022-12-26T16:17:55.000Z,"Sarita Tiwari
@saritatiwariuk
·
26 Dec 2022","Joshimath: People came out of their homes, more than 500 buildings on the verge of collapse!

#UTTARAKHAND #JOSHIMATH
6
53
112
8,218",,6,53,112,['https://pbs.twimg.com/ext_tw_video_thumb/1607409552496160770/pu/img/lHqUnYk6v9eA_sHY.jpg'],https://twitter.com/saritatiwariuk/status/1607410388257345538,PERSON,female,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.5411}",-0.5411,neg
Megha Mann,@mann_megha,2022-12-26T09:40:05.000Z,"Megha Mann
@mann_megha
·
26 Dec 2022","Pls share scientific explanation for this #Joshimath 
@NatGeo
5
7
629",,,5,7,['https://pbs.twimg.com/media/Fk5QJ2kaAAQxnbi?format=jpg&name=small'],https://twitter.com/mann_megha/status/1607310270300553216,PERSON,female,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.3612,pos
Divya Bhaskar,@Divya_Bhaskar,2022-12-30T07:30:00.000Z,"Divya Bhaskar
@Divya_Bhaskar
·
30 Dec 2022","Joshimath of Uttarakhand preparing to sink? Many houses, shops and hotels near Badrinath entrance suddenly got cracks https://divya-b.in/lPd6jLDg7vb
Download Divya Bhaskar News App : http://divya-b.in/mKEP
#Uttarakhand | #Badrinath | #Joshimath
2
58
4,219",,,2,58,['https://pbs.twimg.com/ext_tw_video_thumb/1608065208978935815/pu/img/zByVPJWXQo3wCr0E.jpg'],https://twitter.com/Divya_Bhaskar/status/1608727084725059585,PERSON,female,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
jyoti punwani,@jyotipunwani,2023-01-02T02:21:35.000Z,"Jyoti Punwani
@jyotipoonvani
,
2 Jan","If only devoted Hindus could learn fm this, #Joshimath wouldn't be sinkinht, #ayodhyasadakchoudikaran wouldn't be happening.
Dainik Bhaskar
@DainikBhaskar
,
Jan 2
Protest against making Jain pilgrimage Sammed Shikhar a tourist destination: community members took to the streets in Delhi, Mumbai and Ahmedabad
https://dainik-b.in/nPo7fy5pewb
#jaintirth
2
1
3
545",,2,1,3,"['https://pbs.twimg.com/profile_images/1234019064927834113/z7HtdTVd_mini.png', 'https://pbs.twimg.com/amplify_video_thumb/1609596952005734401/img/i9UfDXQib6rPTGl1.jpg']",https://twitter.com/jyotipunwani/status/1609736635264172033,PERSON,female,"{'neg': 0.044, 'neu': 0.897, 'pos': 0.059, 'compound': 0.1779}",0.1779,pos
Anamika gaur,@ByAnamika,2023-01-03T04:54:49.000Z,"Anamika Gaur
@Byanamika
,
3 Jan","The temperature of Joshimath goes below zero degree in the night, people in the landslide affected area are forced to spend the night outside the houses under the open sky, the fear is that the house may collapse at night.
@OfficeofDhami
 
Pic credit:
@atulsati1
#UTTARAKHAND #JOSHIMATH
12
16
643",,,12,16,['https://pbs.twimg.com/media/Flha8f8aAAEt1rd?format=jpg&name=small'],https://twitter.com/ByAnamika/status/1610137585434910721,PERSON,female,"{'neg': 0.191, 'neu': 0.764, 'pos': 0.045, 'compound': -0.8126}",-0.8126,neg
Shivani Azad,@shivaniazadTOI,2023-01-04T18:21:14.000Z,"Shivani Azad
@shivniazadtoi
,
4 Jan","#Joshimath tonight 
@TOIPlus
 @TOIIndiaNews
3
3
12
1,714",,3,3,12,['https://pbs.twimg.com/ext_tw_video_thumb/1610702874128035841/pu/img/ZJAqUwgsixsuRZog.jpg'],https://twitter.com/shivaniazadTOI/status/1610702911637696512,PERSON,female,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
