UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,NER,gender,scores,sentiment_score,overall_sentiment
Uttarakhand (uttaranchal)Friends,@UttarakhandFrnd,2022-12-03T12:57:27.000Z,"Uttarakhand (Uttaranchal) Friends
@uttrakhandfriend
,
3 Dec 2022","Till when only Uttarakhandi is not safe in Uttarakhand!!

 Vipin Rawat was constantly fighting a battle with death since the murderous attack by the killers on 24th November. Till today morning, Bipin has lost that battle. The sad thing is that the four murderers are still at large.
#vipinrawat #joshimath
1
18
22",,1,18,22,"['https://pbs.twimg.com/media/FjDgxfUVsAANTps?format=jpg&name=small', 'https://pbs.twimg.com/media/FjDgxs6VQAEt7GA?format=jpg&name=small']",https://twitter.com/UttarakhandFrnd/status/1599025018100666368,GPE,,"{'neg': 0.473, 'neu': 0.527, 'pos': 0.0, 'compound': -0.9881}",-0.9881,neg
SuryaCommand_IA,@suryacommand,2022-12-11T15:45:40.000Z,"SuryaCommand_IA
@suryacommand
·
11 Dec 2022","#IndianArmy 
'Our Veterans Our Pride' 
#Veterans Outreach Rally was organised by Ibex Brigade at #Joshimath. Pension & ECHS related grievances were addressed. Veterans and Veernaris were provided information on documentation related issues, SPARSH & ECHS.
@adgpi
 
@DIAV20
2
65
158",,2,65,158,['https://pbs.twimg.com/media/FjtT96iagAAIRru?format=jpg&name=small'],https://twitter.com/suryacommand/status/1601966453435305985,,,"{'neg': 0.061, 'neu': 0.829, 'pos': 0.11, 'compound': 0.25}",0.25,pos
LateNewz.com,@LateNewzdotcom,2022-12-19T18:24:41.000Z,"LateNewz.com
@LateNewzdotcom
·
19 Dec 2022","Dehradun / Joshimath. Baba Barfani sitting in the cave of Niti valley. - https://latenewz.com/news/31616
#Dehradun #Joshimath
#nitighati #cave
#bababarfani
latenews.com
Dehradun / Joshimath. Baba Barfani sitting in the cave of Niti valley.
Dehradun / Joshimath Uttarakhand. If you are planning to reach Auli for the Christmas and 31st December celebrations, then do make a plan to visit Baba Barfani, about 70 km from here.
39",,,,,['https://pbs.twimg.com/card_img/1614693632581459973/u3u4PJ4S?format=jpg&name=small'],https://twitter.com/LateNewzdotcom/status/1604905576441729024,,,"{'neg': 0.0, 'neu': 0.982, 'pos': 0.018, 'compound': 0.0258}",0.0258,pos
Aadhvi Travels,@AadhviTravels,2022-12-20T05:21:38.000Z,"Aadhvi Travels
@AadhviTravels
·
20 Dec 2022","Auli is India's premier skiing destination. Enjoy India's longest cable ride over snowy slopes.

For more information on bookings, don't hesitate to get in touch with us at +91 9108713454 / tours@aadhvi.in

#auli  #skiing #snow  #bestdeals #joshimath #cableride #aadhvitravels
208",,,,,['https://pbs.twimg.com/media/FkZa767acAAVJux?format=jpg&name=small'],https://twitter.com/AadhviTravels/status/1605070901254684672,,,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.6142}",0.6142,pos
Developing Uttarakhand,@DevelopingUtk,2022-12-21T02:09:31.000Z,"Developing Uttarakhand
@DevelopingUtk
·
21 Dec 2022","Cracks in the houses of 300 families of Joshimath
https://youtu.be/WoKk7TZqraM
#joshimath
#Uttarakhand
youtube.com
Joshimath's steps towards the terrible tragedy || Garhwal #joshimathsinking News...
Cracks in 300 families of Joshimath .... ..Report ByPushpender Singh NegiAppeal:-I have a right to have a wholesome point of view on any given case or ...
61",,,,,['https://pbs.twimg.com/card_img/1613341445527830528/tL1-M8LY?format=jpg&name=240x240'],https://twitter.com/DevelopingUtk/status/1605384942846111744,GPE,,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.8176}",-0.8176,neg
Devbhoomi Dialogue,@Devbhoomidialo,2022-12-24T13:51:01.000Z,"Devbhoomi Dialogue
@Devbhoomidialo
·
24 Dec 2022","Joshimath is in danger. There are huge cracks on 300 houses of Joshimath Municipality area. The only demand of the people is that there should be safe rehabilitation immediately. #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Uttarakhand
@atulsati1
Devbhoomi Dialogue
@devbhoomidialo
Joshimath, a city of mythological and religious importance, is under threat. There are huge cracks on 300 houses of Joshimath Municipality area. The only demand of the people is that there should be safe rehabilitation immediately. #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Utt
2
13
23
2,245",,2,13,23,"['https://pbs.twimg.com/card_img/1615663462696488960/cU-xg7tZ?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1512429297549873161/P9wSLYAp_mini.jpg']",https://twitter.com/Devbhoomidialo/status/1606648645289328640,,,"{'neg': 0.101, 'neu': 0.765, 'pos': 0.133, 'compound': 0.4767}",0.4767,pos
enews24x7.in,@enews24x7_in,2022-12-24T11:56:21.000Z,"enews24x7.in
@enews24x7_in
·
24 Dec 2022","There is a sound of destruction in Uttarakhand! Danger on Joshimath-Auli ropeway...

#Joshimath #AuliRopeway #JoshimathAuliRopeway
enews24x7.in
Uttarakhand: Mountains collapsing! Danger on the country's longest Joshimath-Auli ropeway, 513 families in trouble…
Joshimath. Joshimath, the main stop of Badrinath pilgrimage in Uttarakhand, is on the verge of collapse. Here, big cracks have appeared in 513 houses of 9 wards. Five families who came under more danger left their homes.
60",,,,,[],https://twitter.com/enews24x7_in/status/1606619785944616961,,,"{'neg': 0.275, 'neu': 0.725, 'pos': 0.0, 'compound': -0.9697}",-0.9697,neg
The Times Of India,@timesofindia,2022-12-25T06:29:17.000Z,"The Times Of India
@timesofindia
·
25 Dec 2022","#Joshimath sinking: Thousands of fearful residents hit road in protest 

Thousands of people staged a protest in Joshimath on Saturday to draw the government’s attention to the issue of their houses developing cracks as a result of the town “slowly sinking”
timesofindia.indiatimes.com
Joshimath sinking: Thousands of fearful residents hit road in protest | Dehradun News - Times of...
Thousands of people staged a protest in Joshimath on Saturday to draw the government’s attention to the issue of their houses developing cracks as a
1
9
5,720",,,1,9,['https://pbs.twimg.com/card_img/1614451867165102081/EZLkddyg?format=jpg&name=small'],https://twitter.com/timesofindia/status/1606899866814525441,ORG,,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.9081}",-0.9081,neg
kautilyasTOI,@kautilyasTOI,2022-12-25T03:51:19.000Z,"scalded
@kavtiliasΤΟΙ
·
25 Dec 2022","#Joshimath sinking: Thousands of fearful residents hit road in protest #Uttarakhand
@timesofindia
 @UttarakhandTOI
 https://timesofindia.indiatimes.com/city/dehradun/joshimath-sinking-thousands-of-fearful-residents-hit-road-in-protest/articleshow/96488198.cms…
Download the TOI app now:
https://timesofindia.onelink.me/mjFd/toisupershare…
timesofindia.indiatimes.com
Joshimath sinking: Thousands of fearful residents hit road in protest | Dehradun News - Times of...
Thousands of people staged a protest in Joshimath on Saturday to draw the government’s attention to the issue of their houses developing cracks as a
1
137",,,,1,['https://pbs.twimg.com/card_img/1614451867165102081/EZLkddyg?format=jpg&name=small'],https://twitter.com/kautilyasTOI/status/1606860113650024448,,,"{'neg': 0.187, 'neu': 0.813, 'pos': 0.0, 'compound': -0.886}",-0.886,neg
Janjwar Media,@janjwar_com,2022-12-26T16:19:43.000Z,"Janjwar Media
@janjwar_com
·
26 Dec 2022","Everyday Joshimath is sinking into the earth, a city moving towards certain death, people are in panic and the government is in fun #Joshimath #AtulSati #Bignews #Joshimathnews #Uttarakhand #PushkarSinghDhami
The following media contains potentially sensitive content. Change settings
view
2
2
649",,,2,2,[],https://twitter.com/janjwar_com/status/1607410839803559937,ORG,,"{'neg': 0.151, 'neu': 0.735, 'pos': 0.113, 'compound': -0.4215}",-0.4215,neg
The Earth And Climate Initiative,@TheEarthAndCli1,2022-12-26T09:40:26.000Z,"The Earth And Climate Initiative
@TheEarthAndCli1
·
26 Dec 2022","According to a report, rates have come in 500 houses in all the wards of the city.

Landslide started a year ago and now the whole city is rapidly coming under its grip.

Cracks are also coming at the place where there are ropeway towers.

People are raising the demand for protective measures or displacement
#joshimath
1
10
14
1,024",,1,10,14,"['https://pbs.twimg.com/media/Fk5QPkfaMAA-KaN?format=jpg&name=small', 'https://pbs.twimg.com/media/Fk5QPkdaYAc7vPw?format=jpg&name=small']",https://twitter.com/TheEarthAndCli1/status/1607310356397031429,ORG,,"{'neg': 0.026, 'neu': 0.974, 'pos': 0.0, 'compound': -0.128}",-0.128,neg
HimalayanNewsChannel,@NewsHimalayan,2022-12-28T04:31:48.000Z,"Himalayan News Channel
@NewsHimalayan
·
28 Dec 2022","People are protesting against the frequent landslides in Joshimath, but no one is listening. People took out a procession raising slogans against the Uttarakhand government and administration. Traders also kept the market closed.
(Details in website)
#joshimath
#uttarakhandprotest
https://himalayannews.com/news/joshimath-protest…
70",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1607957383489417216/pu/img/muW-vHb3HbDHJi8M.jpg'],https://twitter.com/NewsHimalayan/status/1607957462988255233,ORG,,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.5719}",-0.5719,neg
Tv9 Gujarati,@tv9gujarati,2022-12-29T14:18:43.000Z,"tv9 gujarati
@tv9gujarati
,
29 Dec 2022","In Uttarakhand's Joshimath, 500 houses have cracked, indiscriminate construction, water inundation due to disorder in drainage system.

#Uttarakhand #joshimath #Dehradun
tv9gujarati.com
Cracks in 500 houses in Uttarakhand's Joshimath, haphazard construction, disorganization in the drainage system...
Shocking news is currently coming out from Uttarakhand. More than 500 houses in Joshimath have been cracked. The reason behind which is shocking.
3
566",,,,3,['https://pbs.twimg.com/card_img/1613733764722475008/qj_PN7nl?format=jpg&name=small'],https://twitter.com/tv9gujarati/status/1608467553411817474,WORK_OF_ART,,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.7964}",-0.7964,neg
Neo News Mathura,@Neo_NeoNews,2022-12-29T10:51:19.000Z,"Neo News Mathura
@Neo_NeoNews
·
29 Dec 2022","https://fb.watch/hJaoXxxNfD/?mibextid=RUbZ1f…

Joshimath – Most of the families of Ravi village are in danger

A major accident can happen at any time

Report- Naveen Singh
#Joshimath #uttarakhandnews
1
1
99",,,1,1,[],https://twitter.com/Neo_NeoNews/status/1608415361791324162,ORG,,"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.7579}",-0.7579,neg
Tech & Travel ( Khursheed ),@Khursheed2018,2022-12-29T09:00:52.000Z,"Touch & Travel (Khurshid)
@Khursheed: 2018
·
29 Desi 2022","Mini Pangarchulla Peak. 4480 m & 14600 ft. Joshimath Uttrakhand #joshimath #uttrakhand #pangarchullapeaktrek @ Pangarchulla Peak
instagram.com
Khursheed Ali (@khursheed2007) • Instagram photo
18",,,,,['https://pbs.twimg.com/card_img/1615467334625538056/Ic4ae89m?format=jpg&name=240x240'],https://twitter.com/Khursheed2018/status/1608387564750225410,ORG,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
Uttarakhand Student Federation,@USF4YOUTHS,2022-12-29T08:48:55.000Z,"Uttarakhand Student Federation
@USF4YOUTHS
·
29 Dec 2022","The cracks in Joshimath is not the only one we are dealing with. Whole Uttarakhand is parting due to this unhealthy hill policies and unsustainable approach.
#Joshimath
3
22
45
2,292",,3,22,45,"['https://pbs.twimg.com/media/FlIhNEyaYAEDItD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlIhNgBakAQRG_F?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlIhOVdacAEr9Cr?format=jpg&name=360x360']",https://twitter.com/USF4YOUTHS/status/1608384558256500737,ORG,,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.6124}",-0.6124,neg
